City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,kapuskasing,49.4169,-82.4331,23.05,56,75,5.14,CA,1691617617
1,bethel,41.3712,-73.414,29.79,52,0,4.12,US,1691617431
2,chibougamau,49.9168,-74.3659,23.79,43,20,4.63,CA,1691617617
3,kenai,60.5544,-151.2583,15.08,92,100,4.12,US,1691617618
4,tobelo,1.7284,128.0095,25.64,83,91,3.55,ID,1691617618
5,la ronge,55.1001,-105.2842,21.12,43,40,5.14,CA,1691617618
6,weno,7.4515,151.8468,26.97,100,75,2.06,FM,1691617411
7,georgetown,5.4112,100.3354,26.68,95,40,2.06,MY,1691617619
8,papatowai,-46.5619,169.4708,3.38,88,96,3.14,NZ,1691617619
9,piton saint-leu,-21.2196,55.3151,19.04,73,0,3.6,RE,1691617620
10,abuja,9.0574,7.4898,24.08,94,42,1.26,NG,1691617415
11,shanghai,31.2222,121.4581,28.85,90,75,4.0,CN,1691617448
12,vilyuchinsk,52.9306,158.4028,15.15,70,79,1.82,RU,1691617380
13,thompson,55.7435,-97.8558,19.09,48,75,1.54,CA,1691617621
14,margaret river,-33.95,115.0667,10.43,80,100,1.59,AU,1691617493
15,coquimbo,-29.9533,-71.3436,14.85,82,100,3.09,CL,1691617572
16,urangan,-25.3,152.9,17.2,66,59,2.56,AU,1691617622
17,adamstown,-25.066,-130.1015,18.84,67,67,9.95,PN,1691617623
18,lashio,22.9333,97.75,20.57,96,100,0.04,MM,1691617452
19,hermanus,-34.4187,19.2345,12.88,84,0,4.49,ZA,1691617434
20,kerman,30.2832,57.0788,26.92,24,40,4.12,IR,1691617624
21,olonkinbyen,70.9221,-8.7187,6.09,100,100,3.2,SJ,1691617624
22,birjand,32.8663,59.2211,24.26,23,0,5.14,IR,1691617625
23,mamburao,13.25,120.6667,25.5,88,86,0.75,PH,1691617625
24,edinburgh of the seven seas,-37.0676,-12.3116,10.7,59,57,10.99,SH,1691617626
25,fort bragg,35.139,-79.006,32.85,43,0,2.57,US,1691617411
26,wailua homesteads,22.0669,-159.378,32.24,71,75,9.77,US,1691617626
27,west island,-12.1568,96.8225,24.99,83,100,5.66,CC,1691617627
28,port mathurin,-19.6833,63.4167,22.84,66,0,7.37,MU,1691617627
29,silale,55.4906,22.1814,11.68,76,91,2.27,LT,1691617627
30,jandiala sher khan,31.8199,73.9181,32.22,46,39,1.92,PK,1691617628
31,whitehorse,60.7161,-135.0538,20.05,45,75,2.06,CA,1691617488
32,mejit,10.2753,170.8646,27.76,71,88,4.6,MH,1691617555
33,tura,25.5198,90.2201,23.36,98,100,0.92,IN,1691617629
34,nikopol,47.5712,34.3964,21.46,55,5,8.2,UA,1691617629
35,kodiak,57.79,-152.4072,12.73,94,100,2.57,US,1691617630
36,walvis bay,-22.9575,14.5053,13.53,94,34,4.63,NA,1691617630
37,undurkhaan,47.3194,110.6556,17.35,67,100,1.45,MN,1691617631
38,minas de marcona,-15.2119,-75.1103,16.23,68,5,5.63,PE,1691617433
39,blackmans bay,-43.0167,147.3167,12.07,70,100,3.76,AU,1691617631
40,manokwari,-0.8667,134.0833,25.44,72,100,1.63,ID,1691617553
41,waitangi,-43.9535,-176.5597,9.9,76,63,3.13,NZ,1691617633
42,fraserburgh,57.6874,-2.0184,14.13,75,100,2.09,GB,1691617633
43,vershino-darasunskiy,52.35,115.5167,14.9,61,100,1.85,RU,1691617633
44,santa ana de yacuma,-13.75,-65.4333,33.97,43,20,0.0,BO,1691617634
45,baoding,38.8511,115.4903,24.23,87,22,1.44,CN,1691617634
46,hawaiian paradise park,19.5933,-154.9731,27.63,77,100,2.57,US,1691617492
47,talnakh,69.4865,88.3972,13.45,67,100,2.32,RU,1691617433
48,selfoss,63.9331,-20.9971,11.69,78,99,2.41,IS,1691617387
49,atafu village,-8.5421,-172.5159,28.24,79,100,6.48,TK,1691617635
50,maracas,-13.4411,-40.4308,16.58,80,20,3.94,BR,1691617636
51,port-aux-francais,-49.35,70.2167,2.67,78,94,12.52,TF,1691617375
52,port elizabeth,-33.918,25.5701,17.16,77,0,7.72,ZA,1691617636
53,haapajarvi,63.75,25.3333,13.58,73,87,0.63,FI,1691617637
